label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
666,0,0,512,0,0,8960,11520,8960,2048,8192,15104,7424,3840,2304,7424,0,0
666,1,0,256,0,0,8960,11264,8960,2048,8192,15104,7424,3840,2304,7424,0,0
666,2,0,256,0,0,8960,11520,8960,2048,8192,15104,7424,3584,2304,7424,0,0
666,3,0,256,0,0,8960,11520,8960,2048,8192,15104,7680,3584,2304,7680,0,0
666,4,0,256,0,0,8960,11520,8704,2048,8192,15104,7424,3840,2304,7680,0,0
666,5,0,256,0,0,8960,11264,8960,2048,8192,15104,7424,3584,2304,7680,0,0
666,6,0,256,0,0,8704,11264,8960,2048,8192,15104,7680,3840,2304,7680,0,0
666,7,0,256,0,0,8704,11520,8960,2048,8192,15104,7424,3584,2304,7680,0,0
666,8,0,256,0,0,8704,11264,8960,2048,7680,14848,7680,3840,2304,7424,0,0
666,9,0,256,0,0,7168,11008,8960,2048,8192,14848,7680,3584,2048,7424,0,0
666,10,0,256,0,0,7168,11008,8960,2304,7424,14592,7680,3584,2048,7424,0,0
666,11,0,0,0,0,6912,11008,8960,2304,8448,14848,7424,3584,1792,6912,0,0
666,12,512,256,0,0,6912,7424,9216,2560,9984,14080,6144,4352,2048,4608,0,0
666,13,3584,1280,0,0,5888,6656,7680,2304,11520,15360,7424,4608,1792,4352,256,0
666,14,17408,1792,0,0,4608,5376,6656,2048,12544,15872,6912,5632,3328,4096,0,0
666,15,23552,1536,0,0,3840,5888,5632,2560,15360,15360,6144,4608,4352,4864,1024,0
666,16,39424,1024,0,0,4352,3584,4352,1792,19200,17920,6912,5888,6400,4608,1536,0
666,17,44544,2304,0,0,4352,4096,4864,2816,23296,22528,7424,6912,7680,5632,1536,0
666,18,58112,1792,0,0,6400,6144,5376,2816,28160,24576,9216,6400,9216,5376,2048,0
666,19,5377,3840,0,0,6912,9216,5888,2816,36352,24576,9216,7168,12288,3840,2048,0
666,20,23553,6400,0,0,8192,10496,5120,2560,53248,30208,13056,7936,9984,3072,1536,0
666,21,28929,13056,0,0,9728,19712,6400,6400,59648,40704,14336,7168,8960,2816,256,0
666,22,19713,15104,0,0,10496,21248,5120,4608,56576,41728,12800,7680,11520,4352,1536,0
666,23,3073,10496,0,0,9984,15104,6144,3072,43008,29696,11776,7936,8448,6144,3584,0
666,24,50176,9984,0,0,8704,12288,5888,4864,28672,21504,6144,6400,6400,2048,0,0
666,25,35328,11264,0,0,9984,12800,6144,3584,22784,21760,5888,3584,3840,1280,0,0
666,26,23808,10752,0,0,9216,13824,6144,2048,19456,18688,5888,4608,1792,3072,0,0
666,27,12288,11776,0,0,8960,13568,6656,2048,16128,16128,5376,4352,2304,5888,0,0
666,28,3584,5376,0,0,7168,10752,5120,2048,13568,12288,5376,4608,2304,6656,0,0
666,29,0,2560,0,0,7168,8704,4608,2816,10240,12288,5632,3328,1792,6656,1536,0
666,30,0,1536,0,0,6144,7680,5888,1280,7680,14848,3840,3840,1024,5376,0,0
666,31,0,1536,0,0,6912,7936,6144,2304,9728,9472,4608,2560,1024,3840,0,0
666,32,0,1792,0,0,6656,6912,6144,2560,9472,9984,5120,2304,768,3584,0,0
666,33,0,1536,0,0,7424,5888,6400,2048,8704,10240,5888,2560,512,8960,0,0
666,34,0,1280,0,0,6912,6656,7168,2048,9216,12288,6656,2816,1536,7168,0,0
666,35,0,1536,0,0,6912,7424,7168,2304,9216,9984,5888,3584,1280,3840,0,0
666,36,0,1536,0,0,6656,7168,6656,2816,9216,11008,4608,2048,1792,2816,0,0
666,37,0,1280,0,0,5888,7168,7168,2304,9472,10752,5120,3840,1792,4864,0,0
666,38,0,1280,0,0,6400,6912,6912,2304,8960,9472,4864,2816,1792,7680,0,0
666,39,0,1280,0,0,6656,7168,7424,2560,10240,9216,5632,3072,1536,6656,0,0
666,40,0,1280,0,0,6912,6656,7424,3072,9728,9984,5632,3840,2304,5376,0,0
666,41,0,1536,0,0,6656,6400,6912,2816,9728,10240,5376,3072,2304,7424,0,0
666,42,0,1280,0,0,7168,6912,7168,2816,9728,10752,5120,3072,2816,4864,0,0
666,43,0,1536,0,0,6144,6912,7424,2816,9728,10752,5888,4352,3072,5632,0,0
666,44,0,1536,0,0,6400,6656,7168,2816,9472,11008,6144,4352,2816,5632,0,0
666,45,0,1536,0,0,6144,6912,7424,2816,9216,10752,6400,4352,3072,5376,0,0
666,46,0,1536,0,0,6144,6912,7424,2560,9472,10752,6656,4352,3072,6400,0,0
666,47,0,1536,0,0,6144,6912,7424,2816,9216,10496,6656,4352,3072,6400,0,0
666,48,0,1536,0,0,6656,6912,7424,2816,9472,10752,6400,4352,3072,6144,0,0
666,49,0,1536,0,0,6400,6912,7680,3072,9216,10752,6656,4608,3072,5888,0,0
