label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
amber,0,0,1792,0,0,4864,8960,2048,2304,5376,7424,4096,1536,1024,1024,0,0
amber,1,0,1792,0,0,4864,9216,2304,2560,5376,7168,4096,1536,1024,1024,0,0
amber,2,0,1536,0,0,4608,9728,2304,2560,5376,7168,3840,1536,1024,1024,0,0
amber,3,0,1792,0,0,4608,9728,2304,2560,5376,7424,3840,1536,1024,1024,0,0
amber,4,0,1792,0,0,4608,9728,2304,2560,5376,7424,3840,1536,1024,1280,0,0
amber,5,0,1792,0,0,4608,9728,2304,2560,5120,7424,3840,1536,768,1280,0,0
amber,6,0,1792,0,0,4608,9984,2560,2304,5120,7424,3840,1792,1024,1280,0,0
amber,7,0,1792,0,0,4608,9984,2816,2304,5376,7168,4096,1792,1024,1280,0,0
amber,8,0,1792,0,0,4608,9728,2560,2304,5376,7168,3840,1792,1024,1280,0,0
amber,9,0,1792,0,0,4608,9984,2560,2560,5376,7168,3840,1792,1024,1280,0,0
amber,10,0,1536,0,0,4864,9984,2560,2560,5376,6912,3584,1792,1024,1280,0,0
amber,11,0,1536,0,0,4864,9984,2560,2560,5376,6912,3840,2048,1024,1536,0,0
amber,12,0,1536,0,0,4864,9728,2560,2304,5120,6912,4096,2048,1024,1280,0,0
amber,13,0,1536,0,0,5120,9984,2560,2560,4864,7168,3840,2048,1024,1792,0,0
amber,14,0,1536,0,0,5120,9984,2304,2304,5120,6912,4096,2048,1024,1792,0,0
amber,15,0,1536,0,0,4864,10240,2560,2304,5120,7168,3840,2048,1024,2048,0,0
amber,16,0,1536,0,0,5120,10240,2560,2560,5120,7168,3840,2048,1024,1792,0,0
amber,17,0,1536,0,0,5120,10240,2560,2560,4864,7168,3840,2048,768,2048,0,0
amber,18,0,1536,0,0,5120,10240,2560,2560,5120,7168,3840,2304,1024,1792,0,0
amber,19,0,1280,0,0,5120,10240,2816,2816,5120,7168,3840,2048,768,2048,0,0
amber,20,0,1280,0,0,5376,10240,2816,2560,4864,7168,3840,2048,768,1792,0,0
amber,21,0,1536,0,0,5376,9472,2816,1024,5120,6656,4352,3328,1024,768,0,0
amber,22,0,1792,0,0,3840,10240,2304,1024,5632,6144,3840,3328,256,1792,0,0
amber,23,0,2048,0,0,4864,8960,3584,2560,5376,6144,4096,2816,1280,2048,0,0
amber,24,0,1792,0,0,5376,8704,5376,5120,5888,4864,3072,2048,2560,1024,2048,0
amber,25,0,2816,0,0,3840,11520,8448,10240,4608,2816,2048,512,2048,3584,6144,0
amber,26,0,2560,0,0,3072,13568,10240,12032,1792,1536,512,0,3328,5888,9728,0
amber,27,0,4096,0,0,2304,16128,12800,15104,1024,1536,0,0,8192,15360,22528,0
amber,28,0,5632,1280,0,3328,23040,26624,12544,256,512,0,0,11264,28672,50176,0
amber,29,0,7680,2048,0,2816,28672,36864,9472,0,0,0,0,15616,40448,60672,0
amber,30,256,9216,3584,0,2560,37376,30976,11264,0,1024,0,0,16384,46336,5377,0
amber,31,0,10240,2304,0,2048,45312,31744,13824,0,0,0,0,18944,52992,8193,0
amber,32,256,12800,1536,0,3584,57856,35840,15360,0,1280,0,0,21504,58112,4865,0
amber,33,768,14336,1792,0,4096,12033,44032,12288,0,512,0,0,25856,55808,1281,0
amber,34,1024,17152,1792,0,6400,27393,48384,11008,0,0,0,0,26368,47616,62208,0
amber,35,1280,17152,2304,0,8704,31233,50432,10496,0,0,0,0,23808,53760,51712,0
amber,36,0,16128,2048,0,5120,12545,32768,5888,0,0,0,0,19456,42240,40960,0
amber,37,0,12032,768,0,4352,61184,19200,1792,0,0,0,0,17408,28416,33024,0
amber,38,256,10752,0,0,3584,41984,16128,1024,0,0,0,0,11008,17408,18944,0
amber,39,0,8192,0,0,3328,31744,13568,2048,0,0,0,0,5120,11264,10752,0
amber,40,0,6656,0,0,2816,21760,10752,2304,0,0,0,0,4608,10496,7936,0
amber,41,0,4608,0,0,2816,17408,10752,2816,256,0,0,0,1792,11008,7424,0
amber,42,0,3840,0,0,2816,16384,8192,3072,768,1792,0,0,2048,7936,5632,0
amber,43,0,4352,0,0,2816,14848,8448,2816,1536,1280,0,0,2304,8448,6144,0
amber,44,0,4608,0,0,2816,14848,6912,2048,1536,1792,0,0,1536,9984,5632,0
amber,45,0,4608,0,0,3328,13056,3840,2048,1280,1280,512,0,2048,4864,2304,0
amber,46,0,2816,0,0,3328,13824,2816,1280,1792,3328,1536,0,1024,2560,0,0
amber,47,0,2560,0,0,3584,13056,1280,0,2560,3072,2048,0,0,1280,0,0
amber,48,0,1024,0,0,3840,12800,0,256,3072,3072,2304,256,0,1536,0,0
amber,49,0,768,0,0,3840,9216,0,512,3072,3072,3072,0,0,0,0,0
