label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
background,0,0,3328,0,0,6656,6400,8192,1280,7936,8448,7168,3584,1792,3072,0,0
background,1,0,3328,0,0,6656,6656,7936,1280,7680,8448,7168,3584,1792,2816,0,0
background,2,0,3328,0,0,6656,6656,8192,1280,7680,8448,7168,3840,1792,2816,0,0
background,3,0,3328,0,0,6656,6656,7936,1280,7680,8448,7168,3840,1792,2816,0,0
background,4,0,3328,0,0,6656,6400,7936,1280,7680,8448,7168,3840,1792,2816,0,0
background,5,0,3328,0,0,6656,6400,7936,1280,7680,8448,7168,3840,1536,2816,0,0
background,6,0,3328,0,0,6400,6400,7936,1280,8192,8704,7168,3584,1536,3328,0,0
background,7,0,3328,0,0,6400,6400,8192,1280,8192,8448,6656,3584,1792,3584,0,0
background,8,0,3328,0,0,6400,6400,7936,1280,7936,8704,5120,3840,1792,2304,0,0
background,9,0,3328,0,0,6400,6400,7936,1280,8192,7680,5888,3584,1792,1024,0,0
background,10,0,3328,0,0,6400,6400,7936,1280,7680,8192,5376,2816,1024,1280,0,0
background,11,0,3328,0,0,6400,6400,7936,1280,7680,8704,5632,3072,1792,1024,0,0
background,12,0,3328,0,0,6656,6656,7936,1280,7168,7936,5888,2560,1024,2560,0,0
background,13,0,3328,0,0,6400,6144,7680,1280,5376,6400,4864,3584,256,2816,0,0
background,14,0,3328,0,0,5632,5376,7168,1280,6400,6656,3328,3328,0,4352,256,0
background,15,0,3072,0,0,5120,5632,7680,1280,7168,7168,4352,3584,0,2304,0,0
background,16,0,3072,0,0,4864,6400,9728,1536,8448,6656,4608,3584,0,1536,0,0
background,17,0,3072,0,0,5120,6656,9472,2048,7680,6144,5120,2048,512,2048,0,0
background,18,0,3328,0,0,5120,7168,9472,1792,7168,6400,4608,3072,256,2816,0,0
background,19,0,3072,0,0,5120,6656,9216,1536,7168,5376,4096,3328,0,2304,2048,0
background,20,0,3328,0,0,5120,5888,6144,768,5376,5632,3072,256,512,6912,2560,0
background,21,0,3328,0,0,4352,6400,5632,768,5120,6656,2048,768,0,2560,0,0
background,22,0,3072,0,0,4352,6912,7168,1024,5632,6144,2560,2304,0,1536,0,0
background,23,0,3072,0,0,4864,7680,7168,768,4864,6400,4096,3328,0,3072,0,0
background,24,0,3072,0,0,4608,7424,7168,1536,6144,7168,4352,3072,0,2048,0,0
background,25,0,3072,0,0,4864,7424,7424,1536,6656,6912,4608,3328,512,2048,0,0
background,26,0,3072,0,0,4864,7424,7424,1024,5888,7424,4096,3072,256,4096,0,0
background,27,0,2816,0,0,4608,7424,7424,1024,6144,7680,4096,3328,256,3584,0,0
background,28,0,2304,0,0,4608,6912,7680,1024,6400,7424,4096,3328,256,4096,0,0
background,29,0,1280,0,0,4352,7168,7680,1024,6400,7680,4352,3584,256,3072,0,0
background,30,0,1280,0,0,4352,7168,7680,1280,6400,7936,4608,2816,0,2304,0,0
background,31,0,1280,0,0,4352,7168,7424,1280,5632,7168,3072,3072,0,1024,0,0
background,32,0,1536,0,0,4608,6656,6912,2048,6400,5632,5120,2560,0,0,0,0
background,33,0,1792,0,0,5120,7168,7424,1536,6912,5888,4096,2816,256,0,0,0
background,34,0,1792,0,0,4864,6400,7424,1536,6912,5120,4096,2816,0,1536,0,0
background,35,0,1536,0,0,4608,6144,7424,1280,6656,6656,4608,2816,0,5120,0,0
background,36,0,1280,0,0,4608,5888,7424,1024,6656,6912,4096,2816,256,2304,0,0
background,37,0,1536,0,0,4864,6400,7424,1024,6400,5888,4864,2560,512,0,0,0
background,38,0,1536,0,0,4864,6912,7424,1280,5888,5888,4096,3072,512,0,0,0
background,39,0,1536,0,0,4864,6400,7936,1024,6144,4608,2816,1280,0,2048,0,0
background,40,0,1536,0,0,5120,6144,8448,1024,6400,6656,3584,2816,256,1792,0,0
background,41,0,1792,0,0,5120,6400,9216,1024,6912,6400,4096,2816,768,512,0,0
background,42,0,1536,0,0,5120,6144,8448,1280,6400,6656,2816,2560,768,1792,0,0
background,43,0,1536,0,0,4864,5888,7680,1024,7168,5632,2816,2816,1792,1024,0,0
background,44,0,1280,0,0,4608,6144,7936,768,5376,5888,3584,2560,1792,0,0,0
background,45,0,1280,0,0,4608,6400,6912,1024,5888,6912,3840,2560,1024,1280,0,0
background,46,0,1280,0,0,4864,6144,7424,1024,6656,7168,3840,2816,2304,768,0,0
background,47,0,1536,0,0,5120,5888,7936,1280,6144,7424,4096,2304,2048,3072,0,0
background,48,0,1536,0,0,5120,5888,7936,1024,6656,7680,3840,2560,1792,1792,0,0
background,49,0,1792,0,0,5888,5888,7936,1024,6144,7680,3840,2304,2048,1536,0,0
