label,frame_index,hex_packet
jay,0,00 00 00 00 1300 1a00 2100 c00 2400 2600 1f00 1600 00 900 700 00
jay,1,00 00 00 00 1300 1b00 2100 c00 2300 2600 1f00 1600 00 a00 700 00
jay,2,00 00 00 00 1300 1b00 2100 c00 2300 2600 1f00 1600 00 a00 700 00
jay,3,00 00 00 00 1200 1b00 2000 c00 2300 2600 1f00 1600 00 a00 800 00
jay,4,00 00 00 00 1300 1b00 2000 c00 2300 2600 1f00 1600 00 900 700 00
jay,5,00 00 00 00 1300 1b00 2100 c00 2300 2600 1f00 1600 00 900 900 00
jay,6,00 00 00 00 1300 1b00 2100 c00 2300 2600 1f00 1600 00 900 900 00
jay,7,00 00 00 00 1300 1b00 2000 c00 2400 2600 1f00 1600 00 900 900 00
jay,8,00 00 00 00 1300 1b00 2100 c00 2300 2600 1f00 1600 00 a00 700 00
jay,9,00 00 00 00 1300 1b00 2100 c00 2400 2600 1f00 1700 00 a00 700 00
jay,10,00 00 00 00 1300 1b00 2100 c00 2300 2600 1f00 1700 00 a00 700 00
jay,11,00 00 00 00 1300 1b00 2100 c00 2300 2600 1f00 1600 00 a00 700 00
jay,12,00 00 00 00 1300 1b00 2100 c00 2300 2600 2000 1700 00 a00 700 00
jay,13,00 100 00 00 1300 1b00 2100 c00 2300 2600 2000 1600 00 a00 700 00
jay,14,00 100 00 00 1300 1b00 2100 c00 2400 2600 2000 1600 00 a00 800 00
jay,15,00 00 00 00 1400 1b00 2100 c00 2300 2600 2000 1600 00 900 800 00
jay,16,00 00 00 00 1400 1b00 2100 c00 2300 2600 1f00 1600 00 900 800 00
jay,17,00 100 00 00 1300 1b00 2100 c00 2300 2600 1f00 1600 00 900 900 00
jay,18,00 00 00 00 1500 1b00 2100 b00 2300 2600 1f00 1600 00 900 800 00
jay,19,00 00 00 00 1500 1b00 2100 b00 2400 2600 1f00 1600 00 900 900 00
jay,20,00 100 00 00 1500 1b00 2100 b00 2300 2600 1f00 1600 00 900 900 00
jay,21,00 100 00 00 1500 1b00 2000 b00 2400 2600 1f00 1600 00 900 900 00
jay,22,00 100 00 00 1500 1b00 2100 c00 2300 2600 1f00 1600 00 900 900 00
jay,23,00 00 00 00 1500 1b00 2000 b00 2100 2600 1f00 1600 00 900 800 00
jay,24,00 00 00 00 1400 1700 1c00 d00 1700 1c00 1700 1300 00 900 700 00
jay,25,00 00 00 00 1800 1700 1c00 d00 1a00 1d00 1500 1400 00 900 700 00
jay,26,00 00 00 00 1300 1300 1800 a00 1e00 1b00 1600 1800 00 a00 500 00
jay,27,00 00 00 00 1000 1800 1f00 f00 1b00 1900 1e00 1800 00 a00 600 00
jay,28,00 200 00 00 e00 1600 2100 c00 1b00 1800 1a00 1600 00 500 100 00
jay,29,00 e00 00 00 f00 1500 2a00 c00 1a00 1700 1200 c00 00 b00 900 00
jay,30,100 1100 00 00 b00 1900 3500 1200 1100 1600 1500 a00 00 1400 1c00 00
jay,31,300 1f00 00 00 b00 2300 3e00 f00 1500 1700 1600 400 00 2100 3200 00
jay,32,00 2100 00 00 e00 3400 4000 1000 1a00 1c00 1300 00 b00 2200 3500 00
jay,33,00 2100 00 00 e00 3800 4e00 e00 2000 1200 1500 00 d00 2700 3e00 00
jay,34,00 2900 00 00 1600 4200 5b00 f00 2400 1200 f00 00 1000 3500 3a00 00
jay,35,00 3100 00 00 1800 4600 5800 1200 2f00 1600 f00 00 e00 3e00 3700 00
jay,36,00 3700 00 00 1600 4d00 6100 1700 3000 1d00 d00 00 f00 4300 3800 00
jay,37,00 3c00 00 00 1900 5600 7000 1b00 3700 1900 d00 00 1800 5300 3800 a00
jay,38,00 4200 00 00 1c00 6600 7800 2200 3500 1f00 e00 00 1500 5200 3b00 c00
jay,39,00 4700 00 00 1b00 7200 7b00 2600 3c00 2000 b00 00 2100 4b00 3000 d00
jay,40,00 4d00 00 00 2700 7b00 8700 2c00 4000 2b00 a00 00 2400 5c00 3600 1400
jay,41,00 5400 00 00 2e00 8a00 8c00 2900 4200 2b00 a00 00 2600 5300 2f00 a00
jay,42,00 4f00 00 00 2000 8d00 9a00 3000 4300 2f00 900 00 2400 5700 2a00 c00
jay,43,00 5000 00 00 1f00 7f00 9f00 3000 4c00 2a00 e00 00 2700 4c00 2900 c00
jay,44,00 3700 00 00 2200 6a00 9300 2a00 4c00 2b00 f00 00 2100 5200 2a00 700
jay,45,00 3500 00 00 2800 6300 7d00 2600 4c00 2b00 e00 00 1e00 5200 2b00 800
jay,46,00 3200 00 00 2600 6400 6e00 2100 4700 2b00 1200 00 1b00 4a00 2500 200
jay,47,00 2b00 00 00 2100 6800 6100 1500 4500 2700 1200 00 1900 3d00 2300 00
jay,48,00 2d00 00 00 2500 5f00 5300 1100 4000 2800 e00 00 1100 2d00 2200 00
jay,49,00 2800 00 00 1e00 5000 4100 1100 2d00 2200 1200 00 c00 3100 1d00 00
