label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
jay,0,0,256,0,0,6400,5376,7168,3072,7936,12544,5632,3328,3328,4608,0,0
jay,1,0,256,0,0,6400,5632,7168,3072,7936,12288,5376,3328,3328,4608,0,0
jay,2,0,256,0,0,6400,5632,7424,3072,7680,12544,5632,3328,3328,4608,0,0
jay,3,0,256,0,0,5888,5888,7424,3328,8192,12544,5632,3328,3328,4608,0,0
jay,4,0,256,0,0,5888,5888,7168,3328,7936,12288,5376,3328,3328,4608,0,0
jay,5,0,256,0,0,6144,5888,7424,3328,7936,12288,5376,3584,3328,4864,0,0
jay,6,0,256,0,0,6144,5376,7168,3072,8192,12288,5376,3328,3328,4864,0,0
jay,7,0,256,0,0,6400,5632,7168,3072,7936,12288,5376,3328,3328,4864,0,0
jay,8,0,256,0,0,6144,5632,7168,3072,8192,12288,5632,3584,3328,4608,0,0
jay,9,0,256,0,0,5888,5376,7168,3072,8192,12544,5632,3584,3328,4864,0,0
jay,10,0,256,0,0,5888,5376,7168,3072,7936,12288,5632,3584,3328,4864,0,0
jay,11,0,256,0,0,5888,5376,7168,3072,7936,12288,5632,3584,3584,4608,0,0
jay,12,0,256,0,0,6144,5376,7424,3072,7936,12288,5376,3328,3584,4864,0,0
jay,13,0,256,0,0,6400,5376,7424,3328,7936,12288,5632,3584,3584,4864,0,0
jay,14,0,256,0,0,6144,5632,7424,3328,7936,12288,5632,3584,3328,4864,0,0
jay,15,0,256,0,0,6400,5632,7424,3328,7936,12032,5632,3328,3328,4864,0,0
jay,16,0,256,0,0,6400,5632,6912,3328,7680,12032,5632,3328,3328,4864,0,0
jay,17,0,256,0,0,6400,5888,7168,3328,7936,12288,5888,3328,3328,4864,0,0
jay,18,0,256,0,0,6400,5632,7168,3328,7936,12032,5888,3328,3584,4864,0,0
jay,19,0,512,0,0,6400,5632,7168,3328,7936,12288,5888,3328,3584,4864,0,0
jay,20,0,256,0,0,6144,5632,6912,3072,7168,12032,5632,3584,2304,4864,0,0
jay,21,0,0,0,0,5120,6912,5632,2304,7424,11776,7680,4096,2560,4864,0,0
jay,22,0,256,0,0,4608,6400,5632,2560,7936,11520,7680,5376,1536,3328,0,0
jay,23,0,256,0,0,5120,6400,5888,3328,7168,10496,7936,4352,1280,4608,0,0
jay,24,0,2560,0,0,4352,5888,6400,3328,8960,12288,8704,6144,1024,3328,0,0
jay,25,0,6144,0,0,4096,7424,7168,3072,8704,12800,11776,5376,768,4096,0,0
jay,26,0,7680,0,0,2304,6656,7424,3584,6656,13312,12288,5376,512,2816,0,0
jay,27,0,9984,0,0,2048,8192,5376,3072,6656,15360,10496,5888,0,3840,2048,0
jay,28,0,16384,0,0,2304,8960,5632,2816,7680,16896,11008,5376,0,5120,2048,0
jay,29,0,20992,0,0,4096,9728,6912,2560,12032,19200,10240,5888,0,4608,0,0
jay,30,512,24576,0,0,3328,13312,8704,4352,15360,20480,11264,5888,0,2816,0,0
jay,31,256,34560,0,0,5120,14336,11520,6912,18432,22784,10752,5632,768,3840,256,0
jay,32,512,35072,0,0,5632,17920,10240,5120,20736,24320,8960,5888,0,4096,2048,0
jay,33,512,37888,0,0,5120,22272,14592,6400,20480,28416,9728,6144,0,4352,0,0
jay,34,768,31232,0,0,4864,19968,13568,6400,20480,28416,10240,5888,0,6144,0,0
jay,35,1024,24320,0,0,5376,14848,9216,4608,16384,23808,8448,6144,0,4864,0,0
jay,36,2048,21504,0,0,7424,14848,8960,3840,15104,23552,7424,6656,0,2048,0,0
jay,37,2048,17664,0,0,6400,14848,8960,4096,10496,19456,8448,5120,0,3840,0,0
jay,38,2304,18176,0,0,7168,12544,9472,4352,8960,16640,9728,4864,256,3072,0,0
jay,39,768,14080,0,0,6656,9472,9728,4352,9984,14336,8448,5120,1280,3840,0,0
jay,40,0,10496,0,0,8448,7424,8448,4864,9472,14848,6400,5632,768,4608,0,0
jay,41,0,8960,0,0,7680,7936,6912,3584,9728,14848,7680,5632,512,4608,0,0
jay,42,0,7424,0,0,8192,7680,6656,3328,7936,13824,6912,4352,1280,2560,0,0
jay,43,0,5888,0,0,7936,6656,5888,4608,9216,11776,7168,4096,768,2816,0,0
jay,44,0,2304,0,0,6400,6144,4352,3072,9472,13312,8960,3840,768,3840,0,0
jay,45,0,3072,0,0,7680,6912,5888,3072,9472,12544,5632,4096,1536,3840,0,0
jay,46,0,3072,0,0,7936,6912,5376,3584,7936,9728,5120,4352,1536,3328,0,0
jay,47,0,2816,0,0,6912,6400,5888,3072,8448,11520,5632,3584,2048,4096,0,0
jay,48,0,2304,0,0,6912,6656,5888,2560,7680,11776,5632,3840,2304,2816,0,0
jay,49,0,2304,0,0,5888,6656,5632,2560,8448,12288,6144,4096,2560,3072,0,0
