label,frame_index,hex_packet
lin,0,00 00 00 00 f00 b00 1900 600 a00 1300 b00 800 00 00 00 00
lin,1,00 00 00 00 c00 b00 1800 600 a00 1300 d00 900 00 00 00 00
lin,2,00 00 00 00 d00 b00 1800 600 a00 1300 d00 900 00 00 00 00
lin,3,00 00 00 00 d00 c00 1800 600 a00 1300 d00 b00 00 00 00 00
lin,4,00 00 00 00 d00 c00 1900 600 a00 1300 e00 b00 00 00 00 00
lin,5,00 00 00 00 d00 c00 1900 600 b00 1200 d00 900 00 00 00 00
lin,6,00 00 00 00 d00 c00 1900 600 b00 1200 e00 a00 00 00 00 00
lin,7,00 00 00 00 d00 c00 1800 600 b00 1200 c00 b00 00 00 00 00
lin,8,00 00 00 00 e00 c00 1900 600 b00 1200 c00 a00 00 00 00 00
lin,9,00 00 00 00 e00 c00 1900 600 b00 1200 d00 b00 00 00 00 00
lin,10,00 00 00 00 d00 c00 1900 600 b00 1200 d00 b00 00 00 00 00
lin,11,00 00 00 00 e00 c00 1900 600 a00 1200 d00 c00 00 00 00 00
lin,12,00 00 00 00 c00 b00 1900 600 b00 1300 d00 b00 00 00 00 00
lin,13,00 00 00 00 e00 b00 1900 600 a00 1300 c00 c00 00 00 00 00
lin,14,00 00 00 00 e00 c00 1900 600 a00 1300 d00 b00 00 00 00 00
lin,15,00 00 00 00 c00 c00 1900 600 a00 1400 d00 b00 00 00 00 00
lin,16,00 00 00 00 d00 b00 1900 600 a00 1300 c00 a00 00 00 00 00
lin,17,00 00 00 00 d00 c00 1900 600 b00 1300 c00 b00 00 00 00 00
lin,18,00 00 00 00 d00 c00 1500 600 900 1300 1000 c00 00 00 00 00
lin,19,00 00 00 00 1100 d00 1300 500 900 1200 900 e00 00 00 00 00
lin,20,00 00 00 00 f00 d00 2100 200 f00 c00 800 d00 00 00 00 00
lin,21,00 00 00 00 a00 1400 2000 200 b00 d00 c00 a00 00 00 00 00
lin,22,300 300 00 00 900 1500 2000 300 800 700 b00 800 00 00 00 00
lin,23,300 100 00 00 a00 1b00 1d00 800 700 500 200 500 400 200 00 00
lin,24,300 300 00 00 1100 2200 2600 1400 300 600 500 600 1100 a00 c00 00
lin,25,00 200 00 00 2100 3000 2a00 2200 00 400 00 00 2700 1f00 2e00 00
lin,26,00 00 00 00 4500 5a00 2d00 2b00 00 500 500 00 4000 2d00 2d00 00
lin,27,00 00 00 00 5300 7b00 3c00 3100 00 500 900 100 4c00 3400 3d00 00
lin,28,00 00 00 00 8100 9200 4600 2800 00 600 a00 700 4600 4100 3300 00
lin,29,00 00 00 00 b900 b000 4f00 1900 00 800 b00 700 4400 4000 1e00 00
lin,30,00 00 00 a00 b900 db00 5e00 2000 100 600 1000 600 5d00 3200 900 00
lin,31,00 00 00 d00 ae00 c900 5b00 2100 500 600 d00 900 6600 2900 900 00
lin,32,00 00 00 900 b600 7d00 4e00 1a00 900 500 a00 900 5f00 2400 900 00
lin,33,00 00 00 00 a600 5300 4a00 1100 700 700 a00 a00 3300 2400 b00 00
lin,34,00 100 00 00 7c00 4300 3200 d00 500 c00 f00 600 1b00 1300 300 00
lin,35,00 600 00 00 5200 4200 2f00 f00 200 a00 600 00 100 700 00 00
lin,36,00 400 00 00 2a00 2e00 2b00 1400 400 800 700 00 00 00 00 00
lin,37,00 700 00 00 1e00 2100 2100 1200 700 900 600 00 00 00 00 00
lin,38,00 c00 00 00 1700 1d00 1f00 d00 900 e00 800 300 00 00 00 00
lin,39,00 d00 00 00 f00 1900 1900 700 900 900 900 600 00 00 00 00
lin,40,00 b00 00 00 1000 1600 1200 400 d00 c00 900 500 00 00 00 00
lin,41,00 b00 00 00 f00 1100 1800 600 b00 a00 500 600 00 00 00 00
lin,42,00 c00 00 00 1500 e00 1500 600 1000 a00 900 600 00 00 00 00
lin,43,00 500 00 00 d00 1100 1100 700 d00 c00 900 600 00 00 00 00
lin,44,00 00 00 00 1100 1300 1000 a00 c00 900 600 800 00 00 00 00
lin,45,00 00 00 00 1100 1100 1100 b00 b00 a00 a00 800 00 00 00 00
lin,46,00 00 00 00 1000 1500 1000 700 d00 800 500 800 00 00 00 00
lin,47,00 00 00 00 1000 1400 1000 900 900 b00 900 500 00 00 00 00
lin,48,00 00 00 00 d00 f00 1000 700 e00 800 900 600 00 00 00 00
lin,49,00 00 00 00 c00 f00 f00 700 f00 800 900 300 00 00 00 00
