label,frame_index,hex_packet
wu,0,00 00 00 00 1600 2200 2600 1500 1a00 2700 2600 1a00 300 d00 1700 00
wu,1,00 00 00 00 1600 2200 2600 1500 1b00 2700 2500 1a00 300 e00 1700 00
wu,2,00 00 00 00 1700 2200 2500 1500 1b00 2800 2500 1b00 300 f00 1700 00
wu,3,00 00 00 00 1700 2200 2600 1500 1b00 2800 2500 1b00 300 f00 1700 00
wu,4,00 00 00 00 1700 2200 2600 1500 1b00 2700 2500 1a00 300 f00 1700 00
wu,5,00 00 00 00 1700 2200 2600 1500 1c00 2800 2500 1a00 300 e00 1600 00
wu,6,00 00 00 00 1700 2200 2700 1500 1b00 2800 2500 1a00 300 e00 1600 00
wu,7,00 00 00 00 1700 2200 2600 1500 1c00 2800 2500 1a00 300 f00 1700 00
wu,8,00 00 00 00 1700 2200 2600 1500 1b00 2800 2500 1a00 300 f00 1700 00
wu,9,00 00 00 00 1700 2200 2600 1500 1b00 2800 2500 1a00 300 f00 1700 00
wu,10,00 00 00 00 1500 1e00 2300 1000 1100 2000 2100 1500 00 c00 1500 00
wu,11,00 200 00 00 1800 1a00 2000 c00 1b00 2000 2000 1900 00 d00 1300 00
wu,12,600 600 00 00 1300 1c00 2200 c00 1800 2200 1800 1600 00 e00 b00 00
wu,13,900 900 00 00 b00 1500 1800 f00 1b00 2000 1e00 1900 00 f00 c00 00
wu,14,4800 800 00 00 800 a00 1500 f00 2f00 1c00 1d00 1500 00 600 c00 00
wu,15,9100 800 00 00 f00 b00 1000 a00 4200 2f00 1d00 1700 00 600 900 00
wu,16,9c00 a00 00 00 2100 c00 f00 f00 4c00 3600 1c00 f00 00 600 b00 00
wu,17,9100 e00 00 00 2f00 1400 1200 e00 5a00 4700 1e00 1000 00 900 b00 00
wu,18,8000 1500 00 00 4500 1b00 1400 1000 5f00 4200 2000 1200 00 b00 900 00
wu,19,5d00 1500 00 00 5300 1d00 1300 d00 6900 3e00 2300 1400 00 1100 800 00
wu,20,6200 1700 00 00 6000 2300 1600 1000 6300 4a00 2000 1500 00 f00 900 00
wu,21,5d00 1d00 00 00 7d00 2900 1d00 1500 6b00 4600 2400 1500 100 c00 b00 00
wu,22,5900 2200 00 00 8f00 3900 3100 1f00 7400 4b00 2a00 1000 00 c00 b00 00
wu,23,6700 2100 00 00 8800 3600 2f00 1b00 6e00 4f00 2800 f00 00 c00 900 00
wu,24,6600 2a00 00 00 6c00 2a00 1e00 1600 7200 4600 2400 1200 00 1000 c00 00
wu,25,6200 2100 00 00 6b00 2900 1f00 1700 5700 4800 2600 1500 00 e00 d00 00
wu,26,5b00 1f00 00 00 5000 2800 1e00 1b00 4900 4200 2300 1500 00 f00 1100 00
wu,27,4c00 1f00 00 00 3700 2800 2100 1800 4b00 3d00 2400 1800 100 f00 1000 00
wu,28,3600 1f00 00 00 2a00 2600 2200 1900 3f00 3200 2100 1400 00 d00 1200 00
wu,29,1d00 1900 00 00 2100 1e00 2100 1a00 3300 3000 2c00 1400 00 d00 f00 00
wu,30,e00 1400 00 00 2000 1f00 2200 1600 2b00 2700 2a00 1400 00 b00 e00 00
wu,31,600 d00 00 00 1700 2000 1800 1600 2900 1e00 2400 1300 00 500 d00 00
wu,32,400 1300 00 00 1600 1a00 1d00 1500 2500 1d00 1d00 1700 00 b00 e00 00
wu,33,00 900 00 00 1000 1800 1c00 1100 2200 1c00 1400 1300 00 500 400 00
wu,34,00 600 00 00 1500 1900 1a00 f00 1f00 1e00 1800 1500 00 a00 600 00
wu,35,00 200 00 00 1300 1900 1a00 c00 1900 2100 1600 1400 00 900 800 00
wu,36,00 100 00 00 1500 1a00 1800 e00 1a00 1c00 1800 1600 00 800 800 00
wu,37,00 300 00 00 1000 1b00 1a00 1100 1600 1d00 1d00 1400 00 800 a00 00
wu,38,00 200 00 00 1400 1800 1a00 1000 1500 1e00 1e00 1600 00 d00 a00 00
wu,39,00 100 00 00 1600 1d00 1a00 1000 1500 1e00 1d00 1300 00 1300 d00 00
wu,40,00 00 00 00 1600 1a00 1b00 1300 1800 1d00 1d00 1500 00 1200 f00 00
wu,41,00 00 00 00 1500 1800 1d00 1000 1c00 2500 2300 1400 00 1500 1000 00
wu,42,00 200 00 00 1500 1a00 1f00 1100 1c00 2500 1f00 1700 00 1600 1300 00
wu,43,00 100 00 00 1600 1b00 2100 1000 1b00 2900 2300 1900 00 1500 1200 00
wu,44,00 100 00 00 1700 1900 2300 1000 1f00 2a00 2400 1a00 00 1000 1400 00
wu,45,00 100 00 00 1500 1900 2300 1200 1d00 2b00 2500 1b00 00 d00 f00 00
wu,46,00 00 00 00 1400 1900 2300 1200 1e00 2500 2300 1600 00 900 c00 00
wu,47,00 00 00 00 1500 1900 2400 1200 1e00 1e00 2200 1500 00 c00 b00 00
wu,48,00 00 00 00 1700 1900 2400 1100 1f00 1f00 1e00 1600 00 a00 d00 00
wu,49,00 00 00 00 1b00 1a00 2300 1200 1f00 2000 1d00 1700 00 b00 b00 00
